Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,2000,126,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,2500,155,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,3000,180,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,4000,229,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,5000,263,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,6000,298,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,7000,337,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,8000,374,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,9000,410,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary,2,Double,Black,10000,441,,,Standard
,,,,,,,,,,,,
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,500,86,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,1000,117,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,2000,175,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,2500,204,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,3000,222,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,4000,328,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,5000,389,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,6000,454,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,7000,517,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,8000,554,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,9000,621,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Double,Black,10000,671,,,Standard
,,,,,,,,,,,,
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,500,91,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,1000,141,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,2000,233,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,2500,285,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,3000,335,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,4000,434,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,5000,533,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,6000,612,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,7000,633,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,8000,778,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,9000,847,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Double,Black,10000,908,,,Standard
,,,,,,,,,,,,
